"","Sub_region","HAB","mod","jday","mDIC_mn","mDIC_se","mOmA_mn","mOmA_se","mPAR8_mn","mPAR8_se","mPARm_mn","mPARm_se","mTA_mn","mTA_se","mTemp_mn","mTemp_se","Perturbation"
"1790","UK","AL",2,281,2048.38243507823,9.16812971718474,3.83128591496555,0.0387217345023132,50.2598825342515,0.628161208041764,49.0959997738109,0.561324605218166,2377.97225569774,5.65246347709333,30.2460176470588,0.40991693708777,"Double Cover"
"1791","UK","AL",2,288,2048.38243507823,9.16812971718474,3.83128591496555,0.0387217345023132,50.2598825342515,0.628161208041764,49.0959997738109,0.561324605218166,2377.97225569774,5.65246347709333,30.2460176470588,0.40991693708777,"Double Cover"
"1792","UK","AL",2,295,2100.6634566326,15.5918898850396,3.56185604336218,0.0592425599988531,33.87875020504,0.597604966917173,34.3441255092621,0.567189928834597,2412.29509002355,9.77615478073884,26.312928125,0.429707963718014,"Double Cover"
"1793","UK","AL",2,302,2100.6634566326,15.5918898850396,3.56185604336218,0.0592425599988531,33.87875020504,0.597604966917173,34.3441255092621,0.567189928834597,2412.29509002355,9.77615478073884,26.312928125,0.429707963718014,"Double Cover"
"1794","UK","AL",2,309,2100.6634566326,15.5918898850396,3.56185604336218,0.0592425599988531,33.87875020504,0.597604966917173,34.3441255092621,0.567189928834597,2412.29509002355,9.77615478073884,26.312928125,0.429707963718014,"Double Cover"
"1795","UK","AL",2,316,2100.56613496246,11.6829728442301,3.54784415737931,0.0413575752810307,32.2112307915321,0.369288074310315,32.0496157866258,0.472254673687462,2412.10411149804,7.49734771717873,25.7777134615385,0.286137708583683,"Double Cover"
"1796","UK","AL",2,323,2091.88905432572,8.64486695265611,3.56709652210573,0.0305629152200182,30.5485128255991,0.46783497180372,31.1899489867382,0.375181898743,2406.58806359062,5.54754677867456,25.5679987179487,0.204947726083372,"Double Cover"
"1797","UK","AL",2,330,2091.88905432572,8.64486695265611,3.56709652210573,0.0305629152200182,30.5485128255991,0.46783497180372,31.1899489867382,0.375181898743,2406.58806359062,5.54754677867456,25.5679987179487,0.204947726083372,"Double Cover"
"1798","UK","AL",2,337,2091.88905432572,8.64486695265611,3.56709652210573,0.0305629152200182,30.5485128255991,0.46783497180372,31.1899489867382,0.375181898743,2406.58806359062,5.54754677867456,25.5679987179487,0.204947726083372,"Double Cover"
"1799","UK","AL",2,344,2088.78265776844,6.60700689595105,3.57605066794094,0.0229423235316215,29.2419259459884,0.702502530369269,29.9471112710458,0.53066806882879,2404.33765226781,4.32645360112789,25.532412962963,0.168932316825522,"Double Cover"
"1800","UK","AL",2,351,2093.61799964289,7.63964274783466,3.55962808274529,0.0238572620056906,27.6194892639809,0.752467588314056,28.4110213340597,0.498252666536896,2409.08322958227,5.40665326481114,24.5561712765957,0.31815093376823,"Double Cover"
"1801","UK","AL",2,358,2092.92702955132,7.95034407128172,3.55973114477576,0.0248669972592756,27.3092444101969,0.752891463839793,28.2250222524007,0.502591243678793,2408.40068186402,5.62010445096239,24.59189,0.331336324180148,"Double Cover"
"1802","UK","AL",2,365,2092.92702955132,7.95034407128172,3.55973114477576,0.0248669972592756,27.3092444101969,0.752891463839793,28.2250222524007,0.502591243678793,2408.40068186402,5.62010445096239,24.59189,0.331336324180148,"Double Cover"
"1803","UK","CC",2,1,2098.19813350493,9.19628342354702,3.59356589591943,0.02247904417042,26.6781999588013,0.792021121957368,27.9082499980926,0.544993448080025,2416.90775417177,7.26267595848128,24.41235125,0.367456059519835,"Double Cover"
"1804","UK","CC",2,8,2092.78677075086,7.74342503258007,3.63649496016801,0.0203319761265391,27.2118775503976,0.698243834204499,29.0962449287882,0.63430853884086,2416.92445849162,6.34049925268206,24.0364336734694,0.318327116905774,"Double Cover"
"1805","UK","CC",2,15,2098.08547194933,8.9709680869565,3.64512351650462,0.0242456534005283,27.8873000621796,0.910843916627259,29.911500120163,0.900405217077666,2423.2162543116,7.24746761588085,23.58022125,0.368704703027905,"Double Cover"
"1806","UK","CC",2,22,2098.08547194933,8.9709680869565,3.64512351650462,0.0242456534005283,27.8873000621796,0.910843916627259,29.911500120163,0.900405217077666,2423.2162543116,7.24746761588085,23.58022125,0.368704703027905,"Double Cover"
"1807","UK","CC",2,29,2098.08547194933,8.9709680869565,3.64512351650462,0.0242456534005283,27.8873000621796,0.910843916627259,29.911500120163,0.900405217077666,2423.2162543116,7.24746761588085,23.58022125,0.368704703027905,"Double Cover"
"1808","UK","CC",2,36,2107.8340858088,13.2810041642876,3.63914075099687,0.0374631756849414,29.1128000640869,0.759095955313282,31.8289602661133,1.03210205175573,2434.32686048342,10.1980520074216,22.46442,0.427826800742232,"Double Cover"
"1809","UK","CC",2,43,2076.49374504893,8.34453214280119,3.79767578547573,0.0445573390363346,33.2516802978516,1.16568452982366,36.9664003753662,1.53545273676708,2418.4688314309,6.31688522714659,23.43602,0.213373988027282,"Double Cover"
